id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35825563,T4 - 140 m2 Hypercentre - Palais Gallien,25800634,Alain,Bordeaux,Centre ville (Bordeaux),44.84597,-0.58261,Entire home/apt,250,3,0,,,3,364
35825847,Hyper Centre Bordeaux Appartement T3,25800634,Alain,Bordeaux,Centre ville (Bordeaux),44.84419,-0.58259,Entire home/apt,190,2,0,,,3,364
35830765,Appartement entier et balcon au centre de bordeaux,31170312,Laura,Bordeaux,Bordeaux Sud,44.83219,-0.56763,Private room,55,2,0,,,2,310
35831445,Chambre lumineuse et mansardée de 14m2,75738511,Corinne,Carbon-Blanc,Carbon-Blanc,44.89617,-0.50685,Private room,28,1,26,2019-08-11,1.08,1,89
35831683,Maison familiale à 10 min de Bordeaux centre,8128061,Claire,Le Bouscat,Le Bouscat,44.86914,-0.61264,Entire home/apt,240,2,2,2020-08-15,0.18,1,328
35836653,Studio à Talence,128271924,Perrine,Talence,Talence,44.80355,-0.58383,Entire home/apt,32,2,6,2019-08-25,0.25,1,11
35837143,House with garden in Bordeaux,543633,Michaël,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85359,-0.58404,Entire home/apt,150,4,1,2019-08-22,0.04,1,0
35837597,Appartement dans le centre de Bordeaux avec balcon,31170312,Laura,Bordeaux,Bordeaux Sud,44.8328,-0.56912,Entire home/apt,55,2,35,2020-09-20,1.52,2,214
35841112,Bel appartement bordelais en plein centre,39220791,Clémentine,Bordeaux,Centre ville (Bordeaux),44.83603,-0.56969,Entire home/apt,120,3,2,2019-07-18,0.08,1,263
35850865,Maison Bordeaux centre St Genès,269675315,Thomas,Bordeaux,Nansouty - Saint Gens,44.82418,-0.58237,Entire home/apt,171,7,0,,,1,0
35851822,"Maison familiale avec piscine, proche Bordeaux",254292006,Georgia Et Helder,Villenave-d'Ornon,Villenave-d'Ornon,44.78196,-0.56919,Entire home/apt,250,5,4,2020-08-28,0.17,1,0
35858698,Appartement centre de Bordeaux,269722029,Coline,Bordeaux,Bordeaux Sud,44.82975,-0.57337,Entire home/apt,50,1,1,2019-06-23,0.04,1,0
35861131,appartement famillial zen,62153981,Sophie,Merignac,Centre ville (Merignac),44.84564,-0.65958,Entire home/apt,45,1,1,2019-07-21,0.04,1,0
35861461,Maison plain pied aux portes de BORDEAUX,55803845,Sanchez,Pessac,Nos,44.80697,-0.64902,Entire home/apt,130,14,1,2019-08-17,0.04,1,2
35863004,Grande maison familiale avec piscine à Bordeaux,128970403,Claire,Bgles,Bgles,44.80958,-0.55466,Entire home/apt,400,7,5,2020-08-22,0.21,1,315
35873241,Chambre double/CHARTRONS/ LES QUAIS/CITE DU VIN,24792002,Florence,Bordeaux,Bordeaux Maritime,44.85825,-0.56111,Private room,30,2,58,2019-07-14,2.46,2,0
35876297,Maison Bordeaux Caudéran avec Piscine,18265352,Anne-Sophie,Bordeaux,Caudran,44.84696,-0.62341,Entire home/apt,201,7,5,2020-10-27,0.22,1,190
35877039,Endroit Super! Appartement Confortable avec Wi-Fi + Parking,218765540,Leavetown,Bordeaux,Bordeaux Maritime,44.86384,-0.55201,Entire home/apt,121,1,1,2019-10-06,0.05,8,158
35881316,Canapé lit(clic-clac d'appoint  chez l'habitant),231281337,Vonihanitra,Bordeaux,Centre ville (Bordeaux),44.84077,-0.57268,Shared room,25,1,47,2019-10-15,1.89,1,173
35891674,Appartement calme et agréable au Bouscat 2nd ligne,269962979,Chloe,Le Bouscat,Le Bouscat,44.86253,-0.61064,Entire home/apt,43,1,7,2019-09-01,0.28,1,0
35894590,Appartement T2 à Talence pour l’été,269981285,Chloé,Talence,Talence,44.81017,-0.57564,Entire home/apt,18,6,1,2019-07-18,0.04,1,0
35899045,Charmant studio Hyper centre de Bordeaux Classé 3*,126445996,Cécile,Bordeaux,Centre ville (Bordeaux),44.83754,-0.57606,Entire home/apt,100,1,57,2021-03-31,2.29,2,233
35901641,Grande Maison Familliale 300m2,25001799,Karim,Bordeaux,Centre ville (Bordeaux),44.84988,-0.59628,Entire home/apt,471,4,1,2020-03-20,0.06,1,118
35903196,"Très charmant T3, triangle d’or, parking gratuit",29087751,Clara,Bordeaux,Centre ville (Bordeaux),44.84052,-0.57516,Entire home/apt,125,3,6,2019-10-21,0.25,1,0
35903565,Joli studio confortable à la Victoire,267533177,Jeanne,Bordeaux,Bordeaux Sud,44.83215,-0.57634,Entire home/apt,45,2,6,2019-10-13,0.24,1,0
35904491,LE PORT DE LA LUNE - Panoramic view of the Docks,164626639,Virginie,Bordeaux,Centre ville (Bordeaux),44.83936,-0.56878,Entire home/apt,76,1,37,2019-10-05,1.49,28,316
35907707,Chambre moderne proche Bordeaux,63089253,Zahera,Cenon,Palmer-Gravires-Cavailles,44.86121,-0.52207,Private room,30,2,36,2021-07-04,1.46,1,361
35909042,Maison familiale Bordeaux/Le Bouscat,6650128,Alexandre,Le Bouscat,Le Bouscat,44.86586,-0.58803,Entire home/apt,200,7,3,2020-08-22,0.13,1,0
